date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",74.11,75.91,74.01,75.43,75.43,2.71%,"1,303,108"
"Nov 22, 2024",73.10,73.80,73.00,73.44,73.44,0.64%,"716,572"
"Nov 21, 2024",71.75,73.57,71.69,72.97,72.97,1.70%,"975,888"
"Nov 20, 2024",71.50,71.93,70.73,71.75,71.75,0.48%,"849,580"
"Nov 19, 2024",71.52,72.00,71.04,71.41,71.41,-1.03%,"914,209"
"Nov 18, 2024",72.00,72.63,71.64,72.15,72.15,-0.11%,"801,761"
"Nov 15, 2024",72.78,73.28,72.15,72.23,72.23,-1.05%,"1,214,367"
"Nov 14, 2024",73.00,73.80,72.91,73.00,73.00,-0.15%,"1,002,355"
"Nov 13, 2024",73.38,73.50,72.62,73.11,73.11,-0.04%,"1,066,369"
"Nov 12, 2024",74.71,75.08,73.05,73.14,73.14,-2.61%,"1,323,823"
"Nov 11, 2024",75.08,75.71,74.69,75.10,75.10,0.32%,"1,215,098"
"Nov 8, 2024",76.01,76.28,74.81,74.86,74.86,-1.54%,"1,289,404"
"Nov 7, 2024",76.26,76.66,75.66,76.03,76.03,-0.24%,"1,299,029"
"Nov 6, 2024",77.00,77.92,75.47,76.21,76.21,0.38%,"1,422,227"
"Nov 5, 2024",75.00,75.99,74.80,75.92,75.92,1.04%,"709,103"
"Nov 4, 2024",75.40,76.28,74.80,75.14,75.14,-0.34%,"716,366"
"Nov 1, 2024",75.41,76.31,75.03,75.40,75.40,0.40%,"811,313"
"Oct 31, 2024",75.41,75.83,74.81,75.10,75.10,-1.07%,"1,977,483"
"Oct 30, 2024",76.07,76.91,75.71,75.91,75.57,-0.58%,"917,526"
"Oct 29, 2024",76.06,77.04,75.51,76.35,76.01,-0.84%,"877,567"
"Oct 28, 2024",77.33,78.25,76.94,77.00,76.65,0.17%,"710,278"
"Oct 25, 2024",77.37,78.11,76.66,76.87,76.52,-0.61%,"822,041"
"Oct 24, 2024",77.20,78.00,76.53,77.34,76.99,0.05%,"851,448"
"Oct 23, 2024",77.99,80.24,77.23,77.30,76.95,-1.16%,"1,396,354"
"Oct 22, 2024",79.66,80.26,78.00,78.21,77.86,-0.50%,"1,549,884"
"Oct 21, 2024",78.83,79.60,78.11,78.60,78.25,-0.19%,"1,196,640"
"Oct 18, 2024",79.00,79.17,78.28,78.75,78.40,-,"1,032,245"
"Oct 17, 2024",79.87,80.23,78.22,78.75,78.40,-1.84%,"1,772,852"
"Oct 16, 2024",81.36,81.92,80.20,80.23,79.87,-0.89%,"1,158,070"
"Oct 15, 2024",82.50,83.01,80.90,80.95,80.59,-2.02%,"1,379,175"
"Oct 14, 2024",81.03,82.71,80.65,82.62,82.25,2.16%,"1,345,450"
"Oct 11, 2024",80.34,83.20,79.50,80.87,80.51,-6.25%,"2,379,229"
"Oct 10, 2024",87.00,87.39,86.16,86.26,85.87,-1.62%,"808,410"
"Oct 9, 2024",86.98,87.88,86.85,87.68,87.29,1.42%,"635,455"
"Oct 8, 2024",87.75,87.87,85.93,86.45,86.06,-1.93%,"1,536,752"
"Oct 7, 2024",86.88,88.41,86.29,88.15,87.75,0.86%,"629,945"
"Oct 4, 2024",88.08,88.14,86.74,87.40,87.01,-0.13%,"653,661"
"Oct 3, 2024",87.64,88.02,86.56,87.51,87.12,-0.59%,"886,082"
"Oct 2, 2024",88.42,88.54,87.13,88.03,87.63,-1.02%,"981,910"
"Oct 1, 2024",89.96,90.15,88.23,88.94,88.54,-0.99%,"847,551"
"Sep 30, 2024",90.60,90.84,89.48,89.83,89.43,-0.84%,"1,065,824"
"Sep 27, 2024",89.97,92.06,89.82,90.59,90.18,1.43%,"1,631,341"
"Sep 26, 2024",86.93,89.91,86.75,89.31,88.91,4.04%,"1,799,416"
"Sep 25, 2024",85.97,86.12,85.16,85.84,85.45,0.12%,"805,800"
"Sep 24, 2024",84.04,85.77,83.84,85.74,85.35,2.10%,"940,674"
"Sep 23, 2024",83.30,84.20,83.08,83.98,83.60,1.31%,"668,399"
"Sep 20, 2024",84.02,84.19,82.62,82.89,82.52,-1.66%,"2,338,885"
"Sep 19, 2024",84.50,84.50,83.36,84.29,83.91,1.69%,"679,470"
"Sep 18, 2024",82.90,84.29,82.30,82.89,82.52,0.51%,"904,176"
"Sep 17, 2024",82.09,83.25,81.93,82.47,82.10,0.94%,"583,569"
"Sep 16, 2024",80.82,81.93,80.45,81.70,81.33,2.16%,"820,998"
"Sep 13, 2024",79.75,80.59,79.42,79.97,79.61,0.72%,"986,156"
"Sep 12, 2024",78.40,79.42,77.88,79.40,79.04,1.20%,"982,230"
"Sep 11, 2024",78.48,78.57,76.63,78.46,78.11,-0.28%,"593,141"
"Sep 10, 2024",78.14,78.81,77.71,78.68,78.33,1.01%,"556,700"
"Sep 9, 2024",77.33,77.99,76.80,77.89,77.54,1.27%,"830,877"
"Sep 6, 2024",78.04,78.63,76.78,76.91,76.56,-1.22%,"864,869"
"Sep 5, 2024",79.87,79.95,76.94,77.86,77.51,-3.10%,"1,561,841"
"Sep 4, 2024",81.09,81.26,79.76,80.35,79.99,-1.12%,"625,037"
"Sep 3, 2024",83.53,83.67,80.65,81.26,80.89,-2.94%,"740,814"
"Aug 30, 2024",82.48,83.86,82.43,83.72,83.34,1.97%,"1,007,080"
"Aug 29, 2024",82.40,82.94,81.13,82.10,81.73,0.32%,"603,667"
"Aug 28, 2024",81.72,82.65,81.59,81.84,81.47,0.10%,"577,041"
"Aug 27, 2024",81.85,82.39,80.99,81.76,81.39,-0.73%,"702,370"
"Aug 26, 2024",82.96,83.22,82.12,82.36,81.99,-0.22%,"562,113"
"Aug 23, 2024",81.82,83.09,81.18,82.54,82.17,1.74%,"562,529"
"Aug 22, 2024",81.82,82.10,80.88,81.13,80.76,-0.92%,"627,664"
"Aug 21, 2024",81.19,81.94,81.02,81.88,81.51,1.34%,"573,128"
"Aug 20, 2024",80.63,81.11,80.38,80.80,80.44,0.12%,"605,337"
"Aug 19, 2024",79.91,80.71,79.59,80.70,80.34,1.32%,"584,891"
"Aug 16, 2024",80.16,80.52,79.43,79.65,79.29,-0.75%,"834,207"
"Aug 15, 2024",80.86,81.25,79.86,80.25,79.89,0.61%,"735,077"
"Aug 14, 2024",79.95,80.35,79.17,79.76,79.40,0.24%,"652,151"
"Aug 13, 2024",79.51,79.79,78.63,79.57,79.21,0.89%,"679,883"
"Aug 12, 2024",80.21,80.41,78.76,78.87,78.52,-1.74%,"698,781"
"Aug 9, 2024",80.53,81.27,79.61,80.27,79.91,-0.27%,"628,008"
"Aug 8, 2024",80.80,81.49,79.79,80.49,80.13,0.27%,"1,075,079"
"Aug 7, 2024",81.99,83.62,79.96,80.27,79.91,-1.70%,"1,291,718"
"Aug 6, 2024",81.80,83.43,81.29,81.66,81.29,0.01%,"860,020"
"Aug 5, 2024",80.73,82.56,79.67,81.65,81.28,-0.91%,"1,243,260"
"Aug 2, 2024",81.70,82.46,80.27,82.40,82.03,-0.17%,"1,106,038"
"Aug 1, 2024",85.02,85.87,81.36,82.54,82.17,-2.94%,"874,865"
"Jul 31, 2024",85.62,85.85,84.76,85.04,84.66,-0.48%,"1,746,435"
"Jul 30, 2024",85.22,85.98,84.99,85.45,84.75,1.12%,"881,068"
"Jul 29, 2024",84.50,85.29,83.82,84.50,83.80,-,"1,059,036"
"Jul 26, 2024",83.55,84.91,83.30,84.50,83.80,2.82%,"1,149,759"
"Jul 25, 2024",81.17,83.33,81.11,82.18,81.50,1.76%,"1,505,649"
"Jul 24, 2024",80.88,82.50,80.65,80.76,80.10,0.36%,"2,167,104"
"Jul 23, 2024",80.92,85.07,79.83,80.47,79.81,-9.39%,"2,721,296"
"Jul 22, 2024",88.15,89.08,86.67,88.81,88.08,0.93%,"1,138,827"
"Jul 19, 2024",89.36,89.68,87.57,87.99,87.27,-1.16%,"1,038,641"
"Jul 18, 2024",89.80,92.45,88.84,89.02,88.29,-1.24%,"1,025,949"
"Jul 17, 2024",91.47,92.13,90.14,90.14,89.40,-2.00%,"850,860"
"Jul 16, 2024",88.77,92.14,88.50,91.98,91.22,4.76%,"1,338,297"
"Jul 15, 2024",88.22,89.19,87.70,87.80,87.08,-0.03%,"1,154,657"
"Jul 12, 2024",86.94,88.64,86.65,87.83,87.11,2.03%,"999,053"
"Jul 11, 2024",84.19,86.38,83.77,86.08,85.37,3.72%,"1,004,786"
"Jul 10, 2024",81.18,83.13,81.08,82.99,82.31,2.80%,"1,014,075"
"Jul 9, 2024",80.84,81.32,80.20,80.73,80.07,-0.41%,"969,114"
"Jul 8, 2024",80.72,81.35,80.43,81.06,80.39,0.72%,"726,781"
