date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",71.00,71.41,70.15,71.27,71.27,1.12%,"6,645,758"
"Nov 22, 2024",70.31,71.00,69.96,70.48,70.48,0.14%,"2,711,639"
"Nov 21, 2024",69.65,70.88,69.16,70.38,70.38,1.21%,"3,734,694"
"Nov 20, 2024",70.55,70.61,68.45,69.54,69.54,-0.94%,"4,305,476"
"Nov 19, 2024",69.15,70.26,68.30,70.20,70.20,0.44%,"4,914,800"
"Nov 18, 2024",67.63,71.08,67.58,69.89,69.89,3.14%,"7,061,382"
"Nov 15, 2024",65.31,67.83,65.31,67.76,67.76,2.42%,"7,530,072"
"Nov 14, 2024",66.39,67.68,65.83,66.16,66.16,-0.54%,"4,005,607"
"Nov 13, 2024",65.82,66.89,65.31,66.52,66.52,1.08%,"3,655,784"
"Nov 12, 2024",66.50,66.79,64.89,65.81,65.81,-1.33%,"5,087,780"
"Nov 11, 2024",66.42,67.09,66.35,66.70,66.70,0.71%,"5,600,379"
"Nov 8, 2024",66.33,66.78,65.48,66.23,66.23,0.59%,"3,088,441"
"Nov 7, 2024",66.02,66.33,65.26,65.84,65.84,0.14%,"3,856,412"
"Nov 6, 2024",68.27,68.27,65.61,65.75,65.75,-1.41%,"5,340,541"
"Nov 5, 2024",66.17,66.72,65.51,66.69,66.69,0.33%,"3,822,121"
"Nov 4, 2024",67.62,67.84,66.18,66.47,66.47,-1.58%,"3,970,717"
"Nov 1, 2024",67.16,68.59,66.67,67.54,67.54,0.79%,"4,040,810"
"Oct 31, 2024",68.37,68.37,67.00,67.01,67.01,-2.36%,"6,307,344"
"Oct 30, 2024",68.52,70.65,66.15,68.63,68.63,-1.07%,"8,123,866"
"Oct 29, 2024",68.63,71.10,68.59,69.37,69.37,1.24%,"6,297,531"
"Oct 28, 2024",70.00,72.15,66.93,68.52,68.52,-1.24%,"8,899,637"
"Oct 25, 2024",68.88,70.49,68.07,69.38,69.38,-1.38%,"8,171,703"
"Oct 24, 2024",71.00,71.58,70.15,70.35,70.35,-0.37%,"6,742,230"
"Oct 23, 2024",68.87,70.68,68.87,70.61,70.61,1.98%,"5,360,174"
"Oct 22, 2024",69.89,70.01,69.14,69.24,69.24,-1.16%,"3,338,971"
"Oct 21, 2024",70.00,70.24,69.15,70.05,70.05,-0.31%,"3,842,990"
"Oct 18, 2024",68.84,70.42,68.59,70.27,70.27,2.63%,"5,424,803"
"Oct 17, 2024",68.80,69.15,68.19,68.47,68.47,0.25%,"2,989,738"
"Oct 16, 2024",68.73,68.73,67.65,68.30,68.30,-0.87%,"3,786,253"
"Oct 15, 2024",69.47,69.80,68.77,68.90,68.90,-1.05%,"4,023,846"
"Oct 14, 2024",68.71,69.79,68.37,69.63,69.63,2.20%,"5,919,523"
"Oct 11, 2024",68.44,69.64,67.96,68.13,68.13,-0.19%,"4,185,884"
"Oct 10, 2024",67.65,68.52,67.59,68.26,68.26,0.35%,"2,873,015"
"Oct 9, 2024",68.72,69.02,67.75,68.02,68.02,-0.76%,"4,744,178"
"Oct 8, 2024",64.82,68.89,64.51,68.54,68.54,6.20%,"10,542,219"
"Oct 7, 2024",65.05,65.19,64.01,64.54,64.54,-1.45%,"3,567,229"
"Oct 4, 2024",65.79,65.84,64.05,65.49,65.49,0.18%,"5,959,707"
"Oct 3, 2024",64.86,66.04,64.08,65.37,65.37,0.34%,"6,050,063"
"Oct 2, 2024",64.91,65.77,64.56,65.15,65.15,0.08%,"10,919,083"
"Oct 1, 2024",66.08,66.32,64.99,65.10,65.10,-1.35%,"5,786,724"
"Sep 30, 2024",66.18,66.75,65.20,65.99,65.99,-0.89%,"7,310,898"
"Sep 27, 2024",66.20,67.32,65.85,66.58,66.58,1.23%,"5,167,078"
"Sep 26, 2024",65.96,66.00,64.54,65.77,65.77,0.55%,"11,259,604"
"Sep 25, 2024",66.51,66.82,65.09,65.41,65.41,-1.39%,"8,737,278"
"Sep 24, 2024",67.19,67.30,66.14,66.33,66.33,-1.53%,"6,242,656"
"Sep 23, 2024",66.83,67.77,66.52,67.36,67.36,0.79%,"6,250,356"
"Sep 20, 2024",66.88,67.67,66.38,66.83,66.83,-0.64%,"10,864,672"
"Sep 19, 2024",68.85,69.08,67.14,67.26,67.26,-0.40%,"7,114,378"
"Sep 18, 2024",66.95,68.70,65.50,67.53,67.53,0.45%,"9,585,632"
"Sep 17, 2024",69.11,71.70,66.69,67.23,67.23,-3.07%,"11,849,143"
"Sep 16, 2024",68.64,71.07,68.64,69.36,69.36,1.23%,"8,730,397"
"Sep 13, 2024",68.04,70.43,67.72,68.52,68.52,0.57%,"11,862,886"
"Sep 12, 2024",68.11,68.43,66.74,68.13,68.13,-0.18%,"4,446,705"
"Sep 11, 2024",67.00,68.40,66.16,68.25,68.25,1.65%,"4,314,396"
"Sep 10, 2024",65.55,67.30,65.54,67.14,67.14,2.18%,"5,696,723"
"Sep 9, 2024",67.17,67.41,65.50,65.71,65.71,-1.65%,"6,409,500"
"Sep 6, 2024",66.23,67.04,65.47,66.81,66.81,1.20%,"8,174,841"
"Sep 5, 2024",68.81,69.10,64.70,66.02,66.02,-4.22%,"10,225,963"
"Sep 4, 2024",68.75,69.92,68.24,68.93,68.93,0.26%,"3,891,791"
"Sep 3, 2024",69.71,69.96,67.94,68.75,68.75,-1.73%,"5,303,881"
"Aug 30, 2024",70.33,71.13,69.63,69.96,69.96,-0.23%,"6,521,766"
"Aug 29, 2024",69.25,71.42,68.71,70.12,70.12,2.14%,"6,807,371"
"Aug 28, 2024",69.62,69.99,68.35,68.65,68.65,-1.41%,"5,071,378"
"Aug 27, 2024",68.63,69.66,68.06,69.63,69.63,1.28%,"4,280,643"
"Aug 26, 2024",70.70,70.88,68.66,68.75,68.75,-3.01%,"5,220,699"
"Aug 23, 2024",71.41,71.80,70.25,70.88,70.88,-0.59%,"3,707,599"
"Aug 22, 2024",71.00,71.75,70.52,71.30,71.30,1.73%,"5,022,471"
"Aug 21, 2024",69.31,70.32,68.95,70.09,70.09,1.02%,"3,561,224"
"Aug 20, 2024",68.26,70.20,68.26,69.38,69.38,1.64%,"4,930,288"
"Aug 19, 2024",68.86,69.52,67.66,68.26,68.26,-0.96%,"6,538,891"
"Aug 16, 2024",68.14,69.34,67.93,68.92,68.92,1.17%,"4,648,649"
"Aug 15, 2024",67.17,68.22,66.72,68.12,68.12,2.44%,"5,482,082"
"Aug 14, 2024",66.45,66.78,65.53,66.50,66.50,0.23%,"5,798,809"
"Aug 13, 2024",65.73,67.16,65.47,66.35,66.35,1.24%,"5,400,727"
"Aug 12, 2024",64.74,65.56,64.27,65.54,65.54,1.39%,"4,366,178"
"Aug 9, 2024",63.09,64.82,62.88,64.64,64.64,2.13%,"5,985,117"
"Aug 8, 2024",61.54,63.63,61.33,63.29,63.29,3.64%,"6,967,305"
"Aug 7, 2024",62.01,63.32,60.88,61.07,61.07,-1.52%,"6,795,990"
"Aug 6, 2024",60.71,63.38,60.34,62.01,62.01,2.16%,"6,928,942"
"Aug 5, 2024",59.63,62.04,59.41,60.70,60.70,-0.21%,"7,175,493"
"Aug 2, 2024",61.71,62.10,60.15,60.83,60.83,-1.67%,"6,789,806"
"Aug 1, 2024",63.05,63.61,61.45,61.86,61.86,-1.89%,"10,039,354"
"Jul 31, 2024",63.70,64.20,62.15,63.05,63.05,-0.93%,"7,166,074"
"Jul 30, 2024",62.77,64.33,61.91,63.64,63.64,-0.16%,"9,088,778"
"Jul 29, 2024",63.96,64.39,62.31,63.74,63.74,2.20%,"9,888,927"
"Jul 26, 2024",61.56,63.80,60.28,62.37,62.37,4.47%,"14,111,391"
"Jul 25, 2024",64.01,67.80,58.93,59.70,59.70,-31.34%,"45,982,108"
"Jul 24, 2024",86.97,87.60,86.22,86.95,86.95,-0.11%,"4,091,051"
"Jul 23, 2024",87.67,88.28,86.76,87.05,87.05,-1.07%,"2,633,450"
"Jul 22, 2024",86.68,88.50,86.50,87.99,87.99,1.72%,"2,741,891"
"Jul 19, 2024",87.04,87.50,85.75,86.50,86.50,0.80%,"2,433,949"
"Jul 18, 2024",86.80,88.56,84.91,85.81,85.81,-1.72%,"3,557,905"
"Jul 17, 2024",87.99,88.61,86.65,87.31,87.31,-0.48%,"4,220,622"
"Jul 16, 2024",89.59,89.86,87.10,87.73,87.73,-1.98%,"4,499,281"
"Jul 15, 2024",91.49,91.49,88.90,89.50,89.50,-1.64%,"3,052,411"
"Jul 12, 2024",92.80,92.88,90.89,90.99,90.99,-2.00%,"3,488,075"
"Jul 11, 2024",94.18,95.25,92.81,92.85,92.85,-0.99%,"3,057,105"
"Jul 10, 2024",93.62,94.10,92.10,93.78,93.78,0.32%,"2,419,738"
"Jul 9, 2024",92.24,93.66,91.42,93.48,93.48,1.79%,"2,227,138"
"Jul 8, 2024",92.16,92.49,91.67,91.84,91.84,-0.52%,"1,941,280"
